transaction_id,amount,currency,payment_method,bank,merchant_category,hour,day_of_week,device_type,network_type,customer_age_days,previous_transactions,previous_failed_transactions,previous_attempts,transaction_velocity,is_new_device,bank_latency_ms,gateway_latency_ms,bank_success_rate,gateway_success_rate,payment_status,failure_reason
txn_00000024,205.96,INR,UPI,SBI,FOOD,12,6,MOBILE,WIFI,177,15,4,0,1,0,613,176,0.8828,0.9509,0,
txn_00000025,1518.7,INR,CREDIT_CARD,HDFC,HEALTHCARE,14,0,MOBILE,4G,95,7,2,0,5,0,337,407,0.9564,0.8956,0,
txn_00000026,4064.05,INR,CREDIT_CARD,HDFC,HEALTHCARE,19,2,DESKTOP,5G,377,28,4,0,2,0,193,154,0.932,0.9392,0,
txn_00000027,8690.43,INR,CREDIT_CARD,AXIS,TRAVEL,10,1,DESKTOP,WIFI,212,13,1,0,4,1,251,169,0.9113,0.9258,0,
txn_00000028,1816.08,INR,CREDIT_CARD,HDFC,ECOMMERCE,15,6,MOBILE,5G,258,14,2,3,4,0,152,95,0.9304,0.9363,0,
txn_00000029,1530.54,INR,UPI,HDFC,ECOMMERCE,16,2,TABLET,5G,272,17,1,0,2,0,75,53,0.9318,0.9184,0,
txn_00000030,660.42,INR,NET_BANKING,HDFC,FOOD,7,1,MOBILE,5G,490,28,2,0,3,0,108,224,0.9288,0.9522,0,
txn_00000031,1366.86,INR,UPI,SBI,FOOD,17,4,MOBILE,WIFI,1362,88,16,0,3,0,690,96,0.8897,0.9632,0,
txn_00000032,823.44,INR,UPI,SBI,ECOMMERCE,9,4,MOBILE,4G,59,3,0,0,2,0,172,73,0.8814,0.9537,0,
txn_00000033,1237.53,INR,DEBIT_CARD,ICICI,ECOMMERCE,7,5,MOBILE,4G,88,3,0,4,4,0,273,115,0.9399,0.9516,1,USER_AUTHENTICATION_ERROR
txn_00000034,1089.49,INR,DEBIT_CARD,SBI,ECOMMERCE,22,5,MOBILE,4G,810,50,3,3,5,0,662,510,0.9031,0.7805,1,USER_AUTHENTICATION_ERROR
txn_00000035,850.81,INR,NET_BANKING,SBI,UTILITIES,22,6,MOBILE,5G,160,10,2,0,1,1,189,93,0.886,0.9573,0,
txn_00000036,12362.06,INR,UPI,ICICI,ECOMMERCE,19,0,MOBILE,3G,334,23,7,0,2,0,296,348,0.933,0.9311,0,
txn_00000037,2509.55,INR,NET_BANKING,SBI,FOOD,11,0,DESKTOP,4G,1132,80,13,0,1,0,236,49,0.8741,0.8968,0,
txn_00000038,258.8,INR,DEBIT_CARD,SBI,FOOD,8,6,MOBILE,WIFI,318,21,3,0,4,0,246,122,0.8848,0.9566,0,
txn_00000039,546.79,INR,CREDIT_CARD,AXIS,TRAVEL,18,6,MOBILE,4G,348,20,2,0,3,0,60,225,0.9183,0.8976,0,
txn_00000040,3754.64,INR,UPI,SBI,ECOMMERCE,13,3,MOBILE,4G,756,41,9,2,3,0,200,194,0.8796,0.9435,0,
txn_00000041,372.94,INR,CREDIT_CARD,ICICI,FOOD,8,3,MOBILE,2G,62,2,0,0,2,0,335,431,0.9231,0.9402,0,
txn_00000042,210.62,INR,CREDIT_CARD,SBI,FOOD,14,2,MOBILE,WIFI,111,5,0,0,5,0,76,159,0.8737,0.9339,0,
txn_00000043,517.64,INR,UPI,ICICI,ENTERTAINMENT,6,5,MOBILE,4G,496,25,5,0,3,1,353,210,0.9236,0.9312,0,
txn_00000044,607.98,INR,CREDIT_CARD,HDFC,FOOD,21,5,DESKTOP,5G,89,8,1,0,7,0,101,67,0.9249,0.9653,0,
txn_00000045,1106.87,INR,UPI,ICICI,UTILITIES,10,1,DESKTOP,5G,745,53,3,0,2,0,195,92,0.9356,0.9586,0,
txn_00000046,531.74,INR,CREDIT_CARD,ICICI,UTILITIES,18,2,MOBILE,5G,153,8,0,0,2,0,108,110,0.9433,0.8849,0,
txn_00000047,4770.69,INR,UPI,AXIS,TRAVEL,11,1,MOBILE,WIFI,485,39,5,0,1,0,207,91,0.9196,0.9516,0,
txn_00000048,391.11,INR,CREDIT_CARD,SBI,FOOD,15,0,MOBILE,5G,250,10,1,0,2,1,312,317,0.8792,0.8869,0,
txn_00000049,896.28,INR,UPI,HDFC,ECOMMERCE,15,0,MOBILE,4G,672,49,2,0,2,1,57,75,0.9493,0.9566,0,
txn_00000050,3320.46,INR,NET_BANKING,ICICI,TRAVEL,9,1,MOBILE,WIFI,289,20,0,0,4,0,383,204,0.933,0.9246,0,
txn_00000051,263.42,INR,UPI,AXIS,HEALTHCARE,22,0,DESKTOP,4G,161,10,2,0,3,0,45,120,0.9007,0.9406,0,
txn_00000052,872.43,INR,UPI,ICICI,FOOD,19,3,MOBILE,4G,256,10,2,0,3,0,430,189,0.9379,0.9596,0,
txn_00000053,1524.39,INR,DEBIT_CARD,AXIS,ECOMMERCE,21,0,MOBILE,5G,229,12,3,0,5,0,452,134,0.9071,0.9576,0,
txn_00000054,3465.34,INR,CREDIT_CARD,HDFC,TRAVEL,21,5,MOBILE,5G,96,7,0,2,2,0,43,86,0.9426,0.9282,0,
txn_00000055,456.97,INR,UPI,AXIS,FOOD,16,5,MOBILE,4G,738,54,18,0,2,0,151,133,0.9073,0.9592,0,
txn_00000056,5423.41,INR,UPI,ICICI,ECOMMERCE,21,5,DESKTOP,WIFI,273,12,1,0,5,0,193,99,0.9212,0.94,0,
txn_00000057,1484.04,INR,CREDIT_CARD,ICICI,UTILITIES,8,4,MOBILE,4G,345,29,3,0,3,0,207,185,0.9368,0.9371,0,
txn_00000058,700.84,INR,UPI,SBI,FOOD,10,4,DESKTOP,5G,106,8,1,1,1,0,340,123,0.8876,0.9621,0,
txn_00000059,1328.3,INR,UPI,SBI,TRAVEL,6,0,MOBILE,4G,594,41,1,2,1,1,323,187,0.8734,0.9653,0,
txn_00000060,300.84,INR,UPI,SBI,ENTERTAINMENT,11,0,MOBILE,4G,582,42,6,0,3,0,690,116,0.8774,0.9397,0,
txn_00000061,344.67,INR,UPI,SBI,FOOD,12,6,MOBILE,5G,422,24,2,0,3,0,334,97,0.8744,0.882,0,
txn_00000062,1477.07,INR,UPI,HDFC,FOOD,11,2,MOBILE,4G,119,7,1,0,4,1,123,102,0.9417,0.9521,0,
txn_00000063,731.14,INR,UPI,HDFC,ECOMMERCE,20,0,MOBILE,5G,704,48,6,1,2,0,399,132,0.9365,0.9309,0,
txn_00000064,1255.58,INR,UPI,HDFC,FOOD,12,1,DESKTOP,5G,323,27,4,0,1,0,239,73,0.9321,0.954,0,
txn_00000065,9085.88,INR,UPI,ICICI,EDUCATION,11,6,MOBILE,WIFI,556,40,0,0,3,1,62,84,0.9191,0.9531,0,
txn_00000066,181.1,INR,UPI,SBI,FOOD,15,1,MOBILE,4G,235,15,0,0,1,1,280,235,0.8765,0.9284,0,
txn_00000067,312.95,INR,NET_BANKING,HDFC,TRAVEL,9,3,MOBILE,4G,182,13,1,2,3,1,231,251,0.935,0.936,0,
txn_00000068,326.52,INR,CREDIT_CARD,HDFC,FOOD,19,4,MOBILE,4G,800,65,21,0,3,0,97,149,0.9467,0.9618,0,
txn_00000069,239.15,INR,CREDIT_CARD,ICICI,FOOD,7,6,DESKTOP,4G,66,4,0,1,4,1,122,119,0.9307,0.955,0,
txn_00000070,526.87,INR,UPI,SBI,ECOMMERCE,23,0,MOBILE,4G,221,21,1,0,4,0,376,247,0.8949,0.9374,0,
txn_00000071,212.35,INR,CREDIT_CARD,SBI,FOOD,19,3,MOBILE,4G,206,13,2,0,3,0,219,135,0.878,0.9362,0,
txn_00000072,10278.12,INR,NET_BANKING,ICICI,TRAVEL,10,6,MOBILE,5G,266,11,1,1,3,0,209,41,0.9364,0.9485,0,
txn_00000073,707.47,INR,DEBIT_CARD,AXIS,ECOMMERCE,0,0,MOBILE,4G,33,1,0,0,1,1,222,71,0.9293,0.936,0,
txn_00000074,4742.3,INR,UPI,ICICI,HEALTHCARE,20,0,MOBILE,WIFI,164,10,3,0,5,1,56,165,0.9257,0.942,0,
txn_00000075,1236.92,INR,UPI,AXIS,HEALTHCARE,18,0,MOBILE,3G,876,56,8,0,2,0,129,326,0.9046,0.9292,0,
txn_00000076,628.6,INR,UPI,ICICI,ECOMMERCE,18,3,MOBILE,4G,396,22,0,1,2,1,263,185,0.9265,0.9059,0,
txn_00000077,1071.25,INR,UPI,ICICI,UTILITIES,19,2,MOBILE,5G,343,26,3,0,4,0,313,40,0.9374,0.9447,0,
txn_00000078,5820.19,INR,UPI,HDFC,TRAVEL,7,5,MOBILE,5G,299,23,1,4,2,0,61,106,0.9451,0.928,0,
txn_00000079,502.62,INR,UPI,HDFC,ECOMMERCE,12,4,DESKTOP,5G,636,45,11,0,3,0,169,184,0.934,0.8893,0,
txn_00000080,616.16,INR,UPI,HDFC,FOOD,8,4,MOBILE,WIFI,836,70,14,2,3,0,208,99,0.9214,0.9754,0,
txn_00000081,414.65,INR,NET_BANKING,ICICI,FOOD,20,3,DESKTOP,WIFI,182,13,2,0,2,1,969,321,0.6499,0.8984,1,GATEWAY_TIMEOUT
txn_00000082,16444.46,INR,NET_BANKING,ICICI,TRAVEL,17,6,DESKTOP,WIFI,175,13,1,4,3,1,196,147,0.9336,0.967,1,USER_AUTHENTICATION_ERROR
txn_00000083,407.12,INR,UPI,ICICI,UTILITIES,12,4,MOBILE,3G,258,16,2,2,2,0,144,210,0.9286,0.9668,0,
txn_00000084,205.07,INR,UPI,SBI,ECOMMERCE,7,0,MOBILE,5G,201,13,0,3,3,0,111,130,0.8733,0.9606,0,
txn_00000085,366.69,INR,NET_BANKING,ICICI,ENTERTAINMENT,11,2,DESKTOP,5G,118,7,2,0,2,0,252,158,0.9345,0.9336,0,
txn_00000086,578.9,INR,UPI,ICICI,ECOMMERCE,11,5,MOBILE,WIFI,496,31,1,1,3,0,462,71,0.9073,0.9414,0,
txn_00000087,2562.96,INR,UPI,ICICI,TRAVEL,18,4,MOBILE,4G,164,13,1,0,3,1,425,155,0.9188,0.8864,0,
txn_00000088,5759.91,INR,UPI,SBI,TRAVEL,17,4,MOBILE,WIFI,34,2,0,1,2,0,252,134,0.8907,0.9308,0,
txn_00000089,531.36,INR,CREDIT_CARD,HDFC,FOOD,20,6,MOBILE,5G,300,23,3,0,6,0,126,149,0.929,0.9438,0,
txn_00000090,278.11,INR,DEBIT_CARD,ICICI,FOOD,14,3,MOBILE,WIFI,204,14,1,0,1,0,228,113,0.9375,0.9358,0,
txn_00000091,2134.16,INR,UPI,HDFC,ECOMMERCE,8,0,DESKTOP,3G,299,20,5,0,2,0,152,293,0.9582,0.9682,0,
txn_00000092,254.54,INR,CREDIT_CARD,ICICI,FOOD,18,6,MOBILE,5G,102,7,1,1,3,1,187,33,0.9324,0.9618,0,
txn_00000093,791.36,INR,UPI,HDFC,FOOD,19,3,MOBILE,WIFI,130,11,1,0,3,0,360,137,0.9299,0.954,0,
txn_00000094,174.58,INR,NET_BANKING,SBI,FOOD,16,0,TABLET,WIFI,272,31,8,0,2,0,391,328,0.873,0.9574,0,
txn_00000095,291.59,INR,UPI,ICICI,FOOD,19,4,MOBILE,5G,135,11,1,3,3,0,399,76,0.9387,0.9516,0,
txn_00000096,13316.83,INR,NET_BANKING,ICICI,EDUCATION,14,4,MOBILE,5G,229,13,1,0,3,0,252,151,0.9437,0.962,0,
txn_00000097,977.38,INR,UPI,ICICI,FOOD,15,4,MOBILE,4G,178,11,3,0,1,1,143,105,0.9259,0.9721,1,BANK_DOWNTIME
txn_00000098,213.92,INR,UPI,ICICI,ECOMMERCE,13,6,MOBILE,5G,405,21,1,0,3,0,155,210,0.9581,0.9406,1,INSUFFICIENT_FUNDS
txn_00000099,101.45,INR,DEBIT_CARD,AXIS,FOOD,5,2,MOBILE,5G,396,35,4,0,6,0,161,58,0.9106,0.8825,1,BANK_DOWNTIME
txn_00000100,347.66,INR,CREDIT_CARD,AXIS,ENTERTAINMENT,8,0,MOBILE,5G,503,26,2,1,1,0,64,290,0.9127,0.8883,0,
txn_00000101,4198.34,INR,CREDIT_CARD,AXIS,TRAVEL,6,6,MOBILE,WIFI,621,48,3,2,3,0,311,64,0.9099,0.9394,0,
txn_00000102,818.45,INR,UPI,HDFC,UTILITIES,17,1,MOBILE,4G,113,11,1,0,2,0,178,112,0.9372,0.9688,0,
txn_00000103,306.87,INR,CREDIT_CARD,ICICI,FOOD,11,5,MOBILE,4G,150,14,1,0,2,0,256,407,0.9438,0.9397,0,
txn_00000104,480.17,INR,UPI,HDFC,FOOD,15,1,DESKTOP,WIFI,67,3,0,0,4,0,143,212,0.9368,0.957,0,
txn_00000105,1081.73,INR,NET_BANKING,AXIS,TRAVEL,21,5,MOBILE,4G,141,12,2,0,2,1,559,218,0.9193,0.9277,0,
txn_00000106,165.63,INR,NET_BANKING,HDFC,FOOD,10,6,DESKTOP,4G,726,44,8,1,3,0,379,96,0.941,0.9571,0,
txn_00000107,12073.98,INR,UPI,AXIS,EDUCATION,13,0,MOBILE,4G,409,37,1,0,4,0,265,54,0.931,0.9446,0,
txn_00000108,772.39,INR,UPI,ICICI,ECOMMERCE,19,1,MOBILE,4G,338,24,3,0,2,0,226,307,0.9387,0.891,0,
txn_00000109,204.96,INR,DEBIT_CARD,SBI,FOOD,10,6,MOBILE,4G,484,28,9,0,1,0,728,45,0.6335,0.9604,1,BANK_DOWNTIME
txn_00000110,15689.82,INR,CREDIT_CARD,AXIS,ECOMMERCE,8,5,MOBILE,4G,764,67,18,0,3,0,197,176,0.9237,0.9496,1,INSUFFICIENT_FUNDS
txn_00000111,1610.98,INR,CREDIT_CARD,HDFC,HEALTHCARE,11,0,MOBILE,4G,273,25,1,2,2,0,215,113,0.9264,0.9641,0,
txn_00000112,9731.7,INR,UPI,HDFC,EDUCATION,9,1,MOBILE,5G,121,7,2,1,2,0,263,118,0.9421,0.8736,0,
txn_00000113,611.82,INR,UPI,HDFC,ECOMMERCE,21,3,MOBILE,3G,366,22,2,0,1,1,228,260,0.932,0.9324,1,GATEWAY_TIMEOUT
txn_00000114,212.71,INR,DEBIT_CARD,HDFC,ENTERTAINMENT,19,6,MOBILE,4G,359,20,3,0,1,0,319,113,0.9504,0.9507,0,
txn_00000115,836.24,INR,DEBIT_CARD,HDFC,UTILITIES,17,1,MOBILE,4G,351,30,1,0,2,0,463,223,0.9486,0.8916,0,
txn_00000116,2960.88,INR,DEBIT_CARD,ICICI,HEALTHCARE,20,5,MOBILE,WIFI,487,43,3,0,1,1,189,254,0.9203,0.9612,0,
txn_00000117,991.47,INR,UPI,ICICI,ENTERTAINMENT,19,0,MOBILE,WIFI,708,39,10,0,2,0,52,253,0.9234,0.9566,0,
txn_00000118,10738.33,INR,UPI,ICICI,EDUCATION,9,3,MOBILE,5G,561,40,4,0,3,0,208,107,0.9379,0.9285,0,
txn_00000119,3631.15,INR,UPI,SBI,ECOMMERCE,21,5,MOBILE,3G,150,7,1,0,2,0,702,222,0.87,0.9646,1,GATEWAY_TIMEOUT
txn_00000120,332.22,INR,NET_BANKING,ICICI,UTILITIES,15,0,MOBILE,5G,135,11,1,0,2,0,53,93,0.9135,0.892,0,
txn_00000121,632.54,INR,UPI,SBI,FOOD,19,1,DESKTOP,4G,185,8,0,2,3,1,101,233,0.8811,0.8886,0,
txn_00000122,2673.75,INR,UPI,HDFC,ECOMMERCE,21,5,DESKTOP,4G,862,46,6,0,3,1,108,93,0.93,0.9361,0,
txn_00000123,564.67,INR,UPI,SBI,UTILITIES,11,1,MOBILE,4G,569,33,3,0,3,0,116,146,0.8704,0.9346,0,
txn_00000124,46579.12,INR,CREDIT_CARD,ICICI,ECOMMERCE,8,4,MOBILE,5G,254,13,1,0,2,0,213,150,0.9263,0.9706,0,
txn_00000125,374.09,INR,UPI,HDFC,ECOMMERCE,10,4,DESKTOP,4G,320,23,7,0,1,1,312,284,0.9495,0.9528,0,
txn_00000126,5749.57,INR,UPI,HDFC,ECOMMERCE,13,3,MOBILE,WIFI,552,44,3,0,4,0,407,206,0.9457,0.9603,1,INSUFFICIENT_FUNDS
txn_00000127,660.8,INR,UPI,ICICI,FOOD,20,1,MOBILE,4G,313,17,1,0,3,0,210,274,0.9252,0.9392,0,
txn_00000128,191.86,INR,UPI,ICICI,UTILITIES,20,3,MOBILE,3G,573,58,1,0,4,0,208,282,0.9327,0.9582,0,
txn_00000129,190.06,INR,UPI,SBI,FOOD,0,4,MOBILE,3G,219,10,0,0,3,1,456,203,0.8928,0.9397,1,NETWORK_DROP
txn_00000130,172.12,INR,UPI,ICICI,ECOMMERCE,15,6,MOBILE,3G,225,5,1,0,1,0,139,236,0.9385,0.9558,0,
txn_00000131,733.83,INR,UPI,AXIS,FOOD,13,5,MOBILE,5G,1017,61,5,0,3,0,54,85,0.8962,0.9391,0,
txn_00000132,3803.63,INR,UPI,ICICI,TRAVEL,10,4,MOBILE,WIFI,350,22,1,0,2,0,343,242,0.9299,0.896,0,
txn_00000133,253.74,INR,CREDIT_CARD,SBI,FOOD,8,1,MOBILE,4G,294,20,1,0,1,1,458,68,0.8652,0.9406,0,
txn_00000134,677.98,INR,UPI,AXIS,FOOD,12,1,MOBILE,5G,626,39,10,0,2,0,115,165,0.8989,0.9639,0,
txn_00000135,5728.03,INR,NET_BANKING,SBI,ECOMMERCE,21,5,MOBILE,4G,508,37,7,0,1,0,66,141,0.886,0.9482,0,
txn_00000136,628.37,INR,UPI,HDFC,ENTERTAINMENT,11,4,MOBILE,2G,265,19,2,0,2,0,719,426,0.9521,0.935,1,NETWORK_DROP
txn_00000137,1274.56,INR,UPI,ICICI,UTILITIES,15,2,MOBILE,5G,448,40,9,0,2,0,283,205,0.924,0.9591,0,
txn_00000138,794.65,INR,UPI,ICICI,ENTERTAINMENT,18,6,MOBILE,4G,108,6,1,0,4,1,113,56,0.9131,0.9647,0,
txn_00000139,1723.78,INR,NET_BANKING,HDFC,ECOMMERCE,12,6,DESKTOP,WIFI,355,21,2,0,5,0,92,129,0.9346,0.8869,0,
txn_00000140,3120.07,INR,CREDIT_CARD,SBI,ECOMMERCE,22,4,MOBILE,5G,339,27,4,0,4,0,569,103,0.8802,0.9583,0,
txn_00000141,4788.36,INR,NET_BANKING,AXIS,ECOMMERCE,22,2,TABLET,4G,1050,66,14,0,3,0,239,128,0.9091,0.9666,0,
txn_00000142,1537.12,INR,UPI,ICICI,ENTERTAINMENT,10,2,MOBILE,4G,176,5,1,0,2,1,86,206,0.9293,0.9543,0,
txn_00000143,530.21,INR,CREDIT_CARD,HDFC,FOOD,14,6,MOBILE,5G,322,20,3,0,3,0,266,70,0.9543,0.9624,0,
txn_00000144,795.88,INR,CREDIT_CARD,HDFC,UTILITIES,11,3,MOBILE,5G,41,1,0,1,4,0,120,63,0.9354,0.9516,0,
txn_00000145,143.76,INR,DEBIT_CARD,ICICI,FOOD,11,5,MOBILE,5G,274,18,2,0,3,0,180,267,0.9403,0.947,0,
txn_00000146,281.8,INR,UPI,AXIS,FOOD,6,6,MOBILE,WIFI,364,35,4,1,1,0,143,141,0.9129,0.9433,0,
txn_00000147,2953.42,INR,UPI,AXIS,HEALTHCARE,17,3,TABLET,3G,91,8,0,2,2,0,335,166,0.9299,0.9537,0,
txn_00000148,1412.25,INR,UPI,HDFC,ECOMMERCE,15,4,MOBILE,5G,11,1,0,0,4,0,319,265,0.9605,0.9767,0,
txn_00000149,2282.97,INR,UPI,ICICI,ECOMMERCE,7,0,MOBILE,5G,258,11,1,0,1,1,393,163,0.6038,0.9469,0,
txn_00000150,5633.78,INR,UPI,SBI,EDUCATION,11,4,MOBILE,5G,165,11,1,0,1,1,346,169,0.8862,0.9369,0,
txn_00000151,449.59,INR,CREDIT_CARD,SBI,ECOMMERCE,21,1,MOBILE,WIFI,190,11,2,0,2,1,435,101,0.8886,0.9586,0,
txn_00000152,112.58,INR,UPI,HDFC,FOOD,10,4,MOBILE,WIFI,283,13,2,0,1,1,63,165,0.9257,0.9576,0,
txn_00000153,620.15,INR,UPI,SBI,ECOMMERCE,9,0,MOBILE,5G,695,47,5,0,1,0,187,71,0.8906,0.9273,0,
txn_00000154,10065.09,INR,CREDIT_CARD,SBI,TRAVEL,14,3,MOBILE,5G,283,18,2,0,3,1,467,61,0.8813,0.9586,0,
txn_00000155,722.18,INR,CREDIT_CARD,AXIS,FOOD,23,3,MOBILE,3G,975,73,11,1,4,1,132,369,0.9072,0.9455,1,GATEWAY_TIMEOUT
txn_00000156,556.16,INR,UPI,ICICI,ECOMMERCE,10,3,MOBILE,4G,121,10,0,4,1,1,458,138,0.9251,0.9542,1,GATEWAY_TIMEOUT
txn_00000157,12894.32,INR,CREDIT_CARD,HDFC,EDUCATION,18,5,TABLET,4G,398,26,11,1,4,0,176,147,0.9307,0.9499,0,
txn_00000158,3717.36,INR,UPI,HDFC,TRAVEL,19,5,MOBILE,4G,188,10,2,1,4,0,174,156,0.942,0.9628,0,
txn_00000159,142.9,INR,DEBIT_CARD,HDFC,FOOD,10,5,DESKTOP,4G,138,10,1,0,3,1,70,152,0.9599,0.9293,0,
txn_00000160,3339.86,INR,UPI,HDFC,EDUCATION,18,4,TABLET,5G,44,3,0,0,9,0,51,137,0.9407,0.9356,0,
txn_00000161,514.64,INR,UPI,HDFC,ENTERTAINMENT,12,6,MOBILE,5G,73,8,2,4,2,1,164,194,0.9515,0.9509,0,
txn_00000162,457.57,INR,UPI,SBI,ENTERTAINMENT,17,4,MOBILE,5G,385,28,4,1,4,0,395,155,0.8756,0.9544,0,
txn_00000163,2875.83,INR,DEBIT_CARD,HDFC,TRAVEL,17,2,MOBILE,4G,248,12,1,1,3,0,266,93,0.93,0.9548,0,
txn_00000164,2169.26,INR,UPI,HDFC,ENTERTAINMENT,15,0,MOBILE,5G,35,1,0,0,3,0,123,121,0.9509,0.9428,0,
txn_00000165,785.84,INR,CREDIT_CARD,ICICI,ECOMMERCE,8,4,MOBILE,5G,83,4,1,0,2,0,213,40,0.9371,0.9661,0,
txn_00000166,393.03,INR,UPI,SBI,ENTERTAINMENT,20,1,MOBILE,4G,710,50,10,4,3,0,299,139,0.8731,0.9406,0,
txn_00000167,1773.74,INR,UPI,AXIS,ECOMMERCE,11,2,MOBILE,4G,91,3,0,0,3,0,90,256,0.9144,0.9661,0,
txn_00000168,11537.09,INR,UPI,AXIS,TRAVEL,9,0,DESKTOP,4G,248,16,2,0,4,0,166,212,0.9021,0.9523,0,
txn_00000169,860.54,INR,CREDIT_CARD,ICICI,ENTERTAINMENT,6,4,MOBILE,4G,575,42,11,0,1,0,121,190,0.9387,0.961,0,
txn_00000170,413.99,INR,DEBIT_CARD,SBI,FOOD,16,6,MOBILE,4G,339,28,5,0,2,0,322,124,0.8799,0.9403,0,
txn_00000171,413.76,INR,CREDIT_CARD,ICICI,FOOD,18,2,MOBILE,4G,305,16,1,0,4,0,171,148,0.9306,0.9211,0,
txn_00000172,236.24,INR,DEBIT_CARD,SBI,FOOD,2,5,MOBILE,4G,99,7,2,0,2,0,294,345,0.8704,0.9303,0,
txn_00000173,1816.95,INR,DEBIT_CARD,AXIS,ECOMMERCE,15,0,MOBILE,5G,250,21,1,0,3,0,76,267,0.907,0.9672,0,
txn_00000174,612.68,INR,UPI,AXIS,FOOD,10,5,DESKTOP,5G,96,8,1,0,3,0,469,52,0.9177,0.9337,0,
txn_00000175,585.43,INR,CREDIT_CARD,ICICI,ECOMMERCE,17,0,MOBILE,4G,399,28,1,1,3,1,217,78,0.9339,0.9706,0,
txn_00000176,132.94,INR,DEBIT_CARD,ICICI,FOOD,9,1,MOBILE,WIFI,592,37,5,1,3,0,111,431,0.9324,0.8835,0,
txn_00000177,192.85,INR,DEBIT_CARD,HDFC,FOOD,18,2,MOBILE,5G,804,56,8,0,2,0,109,65,0.9307,0.9633,0,
txn_00000178,2166.37,INR,NET_BANKING,ICICI,TRAVEL,12,1,MOBILE,5G,100,7,2,0,3,0,192,179,0.9396,0.9631,0,
txn_00000179,2290.43,INR,UPI,AXIS,TRAVEL,21,1,MOBILE,5G,115,7,1,3,2,1,247,38,0.9068,0.943,0,
